source_file,title,source_id,splunk_id,status,deprecated,source_table,output_file
browser/browser-extension-install-from-temp-or-user-profile.yml,Browser Extension Files Created by Non-Browser Process,SENT-BROW-0001,SPLK-BROW-0001,experimental,False,DeviceFileEvents,browser/browser-extension-install-from-temp-or-user-profile.yml
collection/Clipboard-Data-Collection.yml,Suspicious Clipboard Read or Clipboard Utility Execution,SENT-COLL-0001,SPLK-COLL-0001,experimental,False,DeviceProcessEvents,collection/Clipboard-Data-Collection.yml
collection/data-from-local-system.yml,Suspicious Access to Sensitive Local User Documents,SENT-COLL-0005,SPLK-COLL-0005,experimental,False,DeviceFileEvents,collection/data-from-local-system.yml
collection/graph-mail-access-burst.yml,Microsoft Graph Mail Access Burst,SENT-COLL-0004,SPLK-COLL-0004,experimental,False,CloudAppEvents,collection/graph-mail-access-burst.yml
collection/mass-file-enumeration-in-user-data-paths.yml,Mass File Access in User Data Paths by Uncommon Process,SENT-COLL-0002,SPLK-COLL-0002,experimental,False,DeviceFileEvents,collection/mass-file-enumeration-in-user-data-paths.yml
collection/screen-capture-utility-execution.yml,Suspicious Screen Capture Utility Execution,SENT-COLL-0003,SPLK-COLL-0003,experimental,False,DeviceProcessEvents,collection/screen-capture-utility-execution.yml
command-and-control/powershell-or-lolbin-external-network-traffic.yml,PowerShell or LOLBin External Network Traffic,SENT-C2-0002,SPLK-C2-0002,experimental,False,DeviceNetworkEvents,command-and-control/powershell-or-lolbin-external-network-traffic.yml
command-and-control/quick-assist-or-rmm-followed-by-script-execution.yml,Quick Assist or RMM Followed by Script Execution,SENT-C2-0004,SPLK-C2-0004,testing,False,DeviceProcessEvents,command-and-control/quick-assist-or-rmm-followed-by-script-execution.yml
command-and-control/sharepoint-spinstall0-or-webshell-staging-access.yml,SharePoint SPInstall0 or Suspicious Setup Artifact Access,SENT-C2-0005,SPLK-C2-0005,experimental,False,OfficeActivity,command-and-control/sharepoint-spinstall0-or-webshell-staging-access.yml
command-and-control/suspicious-web-download-via-certutil-or-bitsadmin.yml,Suspicious Web Download via Certutil or Bitsadmin,SENT-C2-0003,SPLK-C2-0003,experimental,False,DeviceProcessEvents,command-and-control/suspicious-web-download-via-certutil-or-bitsadmin.yml
